Date_,Month,Year,Coast,Season,Land,Island,No_Strand,Region,Location_Desc,Lat,Long,Record_type,Incident_type,Cond_Animal,Sex,No_of_females,No_of_males,No_of_individuals,Length
25/3/87,3,1987,East,Autumn,Mainland,South,1,Canterbury,"CLAVERLY BEACH, 12KM SOUTH OF KAIKOURA",-42.5987,173.4773,,Stranding,Freshly dead,Male,,1,1,
21/3/99,3,1999,East,Autumn,Mainland,South,1,Canterbury,MOUTH OF HARNETTS CREEK (OLD BEACH ROAD) KAIKOURA,-42.3526,173.6991,Beach cast,Death Report,Decomposed,Unknown,,,1,
4/3/02,3,2002,East,Autumn,Mainland,South,1,Canterbury,"KIAKOURA, BEACH END OF HAWTHORN ROAD.",-42.3896,173.6825,Beach cast,Death Report,Decomposed,Unknown,,,1,
18/3/12,3,2012,Island,Autumn,Island,Chatham,1,Chatham Islands,"At the river mouth in Waitangi Bay, Chatham Island",-43.9526,-176.5566,Live Stranding,Stranding,Live,Male,,1,1,1570
30/3/95,3,1995,East,Autumn,Mainland,North,1,Hawkes Bay,CLIFTON MOTOR CAMP,-39.6397,177.0086,Live Stranding,Stranding,Live,Male,,1,1,1560
27/3/03,3,2003,East,Autumn,Mainland,North,1,Hawkes Bay,CLIFTON MOTOR CAMP,-39.6397,177.0031,Live Stranding,Stranding,Live,Male,,1,1,1500
19/3/20,3,2020,West,Autumn,Mainland,North,1,Manawatu,just south of Waitotara river mouth.,-39.8596,174.7009,Beach cast,Death Report,Decomposed,Unknown,,1,1,1100
25/3/93,3,1993,East,Autumn,Mainland,South,1,Marlborough,SOUTH OF CAPE CAMPBELL,-41.7473,174.2685,Beach cast,Death Report,Decomposed,Unknown,,,1,1740
30/6/98,3,1998,East,Autumn,Mainland,South,1,Marlborough,"WHARANUI, KAIKOURA",-41.9445,174.083,Beach cast,Death Report,Decomposed,Male,,1,1,
12/3/85,3,1985,Unknown,Autumn,Mainland,North,1,Northland,NGAWHA,,,,Stranding,Unknown,Female,1,,1,1500
6/3/04,3,2004,West,Autumn,Mainland,North,1,Northland,"WAIPOUA COAST, OUT FROM END OF KERR'S RD, DARGAVILLE LIES SE 40KM",-35.6885,173.4974,Beach cast,Death Report,Decomposed,Unknown,,,1,
3/3/12,3,2012,West,Autumn,Mainland,North,1,Northland,10km north of Hukatere,-34.8243,173.02,Beach cast,Death Report,Decomposed,Unknown,,,1,1180
14/3/75,3,1975,East,Autumn,Mainland,North,1,Waikato,"WHITIANGA, KUAOTUNA BEACH",-36.723,175.7227,,Stranding,Unknown,Male,,1,1,1524
13/3/94,3,1994,West,Autumn,Mainland,North,1,Wellington,"OTAKI BEACH, SOUTH OF SURF CLUB",-40.752,175.1057,Live Stranding,Stranding,Live,Male,,1,1,1570
13/3/17,3,2017,East,Autumn,Mainland,North,1,Wellington,"White Rock, around the coastline from Cape Palliser, Wairarapa",-41.5666,175.3921,Beach cast,Death Report,Freshly dead,Male,,1,1,1482
5/3/02,3,2002,West,Autumn,Mainland,South,1,West Coast,NEAR PUNAKIKI,-42.1621,171.3203,Beach cast,Death Report,Decomposed,Female,1,,1,1240
6/4/92,4,1992,West,Autumn,Mainland,North,1,Auckland,HAMILTON'S GAP AWHITU PENINSULA - WEST COAST RD.,-37.1307,174.5714,Beach cast,Death Report,Decomposed,Male,,1,1,1520
1/4/81,4,1981,Island,Autumn,Island,Chatham,1,Chatham Islands,"PITT IS.,CHATHAM IS.",-44.289,-176.1859,,Stranding,Unknown,Unknown,,,1,
28/4/11,4,2011,Island,Autumn,Island,Chatham,1,Chatham Islands,Hapupu turn off at sand dunes,-43.7744,-176.3123,Beach cast,Death Report,Decomposed,Male,,1,1,1620
18/4/48,4,1948,East,Autumn,Mainland,North,1,Hawkes Bay,"CLIFTON, HAWKES BAY",-39.6397,177.0086,,Stranding,Unknown,Male,,1,1,1706
13/4/95,4,1995,East,Autumn,Mainland,North,1,Northland,TAKAU BAY KERIKERI,-35.0681,173.929,,Stranding,Decomposed,Female,1,,1,1130
24/4/16,4,2016,East,Autumn,Mainland,South,1,Otago,"on a beach north of Bull Creek, near Milton",-46.1761,170.1354,Beach cast,,Freshly dead,Unknown,,,1,1500
28/4/89,4,1989,South,Autumn,Mainland,South,1,Southland,"TE WAE WAE BAY, 2KM SOUTH OF BLUECLIFFS",-46.1716,167.3959,,Stranding,Decomposed,Male,,1,1,1572
4/4/86,4,1986,East,Autumn,Mainland,North,1,Waikato,"COROMANDELS, MATAPAUA BAY?",-36.7419,175.7983,Beach cast,Death Report,Decomposed,Unknown,,,1,800
17/4/89,4,1989,East,Autumn,Mainland,North,1,Waikato,"MATUPAUA BAY, COROMANDEL PENINSULA",-36.7377,175.8091,,Stranding,Unknown,Unknown,,,1,
4/4/90,4,1990,West,Autumn,Mainland,South,1,West Coast,"MOKIHINUI RIVER, WESPORT",-41.5208,171.9361,,Stranding,Freshly dead,Male,,1,1,1200
13/4/19,4,2019,West,Autumn,Mainland,South,1,West Coast,North Okarito Beach,-43.1622,170.2176,Beach cast,Death Report,Decomposed,Unknown,,1,1,1092
25/5/04,5,2004,East,Autumn,Mainland,North,1,Gisborne,"Whangara, Gisborne. Between Waiomoko River mouth and Whangara Island",-38.5732,178.228,Beach cast,Death Report,Decomposed,Male,,,1,1750
1/5/67,5,1967,East,Autumn,Mainland,North,1,Hawkes Bay,MAHIA BEACH,-39.084,177.872,,Stranding,Unknown,Male,,1,1,1650
16/5/10,5,2010,East,Autumn,Mainland,North,1,Hawkes Bay,"Dinah's Beach, Mahia area (Mahia Beach?)",-39.1661,177.9277,Beach cast,,Decomposed,Unknown,,,1,
28/5/16,5,2016,West,Autumn,Mainland,North,1,Manawatu,Himitangi Beach,-40.3873,175.2259,Beach cast,Death Report,Decomposed,Unknown,,,1,1500
1/5/74,5,1974,Unknown,Autumn,Unknown,Unknown,1,no georeference,AWHAITE STATION,,,,Stranding,Unknown,Unknown,,,1,1524
29/5/89,5,1989,Unknown,Autumn,Unknown,Unknown,1,no georeference,"PT. ALISON, CATTLE BUSH",,,,Stranding,Decomposed,Male,,1,1,1480
4/5/95,5,1995,East,Autumn,Mainland,North,1,Northland,OCEAN BEACH WHANGAREI HEADS,-35.832,174.5699,,,Decomposed,Unknown,,,1,
18/5/10,5,2010,East,Autumn,Mainland,North,1,Northland,"Whau Bay, nearest town Kaeo, North of the Bay of Islands",-35.0214,173.8816,Beach cast,Death Report,Decomposed,Unknown,,,1,1200
30/5/17,5,2017,East,Autumn,Mainland,North,1,Northland,Mair Bank (within Whangarei Harbour). Ruakaka/Marsden Point,-35.8425,174.5088,Beach cast,Death Report,Freshly dead,Male,,1,1,1510
9/5/20,5,2020,East,Autumn,Mainland,North,1,Northland,Helena Bay/Teal Bay area between Ngawai Bay and Mimiwhangata,-35.4335,174.3884,Beach cast,Death Report,Decomposed,Unknown,,1,1,1293
12/5/71,5,1971,South,Autumn,Mainland,South,1,Southland,"BLUECLIFFS BEACH, INVERCARGILL",-46.1511,167.477,,Stranding,Unknown,Unknown,,,1,1372
30/5/87,5,1987,East,Autumn,Mainland,North,1,Waikato,"OTAMA BEACH (MIDWAY),KUAOTUNA PENINSULA, COROMANDEL",-36.7071,175.7576,Live Stranding,Stranding,Live,Male,,1,1,1445
11/5/60,5,1960,West,Autumn,Mainland,North,1,Wellington,PARAPARAUMU BEACH,-40.8876,174.981,,Stranding,Unknown,Female,1,,1,1036
16/6/81,6,1981,Island,Winter,Island,Chatham,1,Chatham Islands,"ON BEACH,SKIRMISH BAY,KAINGAOA HARBOUR,CHATHAM IS.",-43.7356,-176.2603,,Stranding,Freshly dead,Unknown,,,1,1000
20/6/78,6,1978,East,Winter,Mainland,South,1,Marlborough,"KAIKOURA COAST, WARD BEACH",-41.8454,174.1837,,Stranding,Unknown,Male,,1,1,1500
27/6/60,6,1960,East,Winter,Mainland,North,1,Northland,"NGUNGURU HARBOUR ENTRANCE, WHANGAREI",-35.6292,174.5136,,Stranding,Unknown,Unknown,,,1,
18/6/77,6,1977,West,Winter,Mainland,North,1,Northland,NINETY MILE BEACH,-34.7855,172.9868,,Stranding,Unknown,Female,1,,1,1000
5/6/75,6,1975,East,Winter,Mainland,South,1,Otago,"ARAMOANA BEACH,",-45.7729,170.7029,,Stranding,Unknown,Female,1,,1,1188
23/6/87,6,1987,Island,Winter,Island,Stewart,1,Southland,"MASON BAY, 600M NORTH OF DUCK CREEK, STEWART ISLAND",-46.9164,167.7664,Beach cast,Death Report,Freshly dead,Unknown,,,1,1450
17/6/59,6,1959,West,Winter,Mainland,North,1,Wellington,TITAHI BAY,-41.1058,174.8355,,Stranding,Unknown,Male,,1,1,1402
18/6/10,6,2010,West,Winter,Mainland,North,1,Wellington,Cook strait,-41.605,174.6817,Floating at sea,Death Report,Decomposed,Unknown,,,1,
2/6/94,6,1994,West,Winter,Mainland,South,1,West Coast,"TR MOERAKI RIVER MOUTH,HAAST",-43.7003,169.2561,,,Decomposed,Male,,1,1,1570
20/6/07,6,2007,West,Winter,Mainland,South,1,West Coast,"WAIATOTO BAR, SEAWARD SIDE SOUTH WESTLAND",-43.9698,168.8043,Beach cast,Death Report,Decomposed,Unknown,,,1,
1/6/13,6,2013,West,Winter,Mainland,South,1,West Coast,near the mouth of the Taramakau River,-42.5647,171.1233,Beach cast,Death Report,Freshly dead,Male,,1,1,
16/7/72,7,1972,West,Winter,Mainland,North,1,Auckland,"WAIUKU BEACH,ON WEST COAST, WEST OF AUCKLAND CITY",-37.2328,174.7277,,Stranding,Unknown,Male,,1,1,1200
4/7/97,7,1997,West,Winter,Mainland,North,1,Auckland,"MURIWAI BEACH, NW AUCKLAND",-36.7344,174.3641,Live Stranding,Stranding,Live,Male,,1,1,1410
21/7/98,7,1998,East,Winter,Mainland,South,1,Canterbury,"WAIPAPA BAY: MANGAMAUNU, KAIKOURA",-42.205,173.8761,Floating at sea,Death Report,Decomposed,Male,,1,1,1667
7/7/88,7,1988,Island,Winter,Island,Chatham,1,Chatham Islands,"LONG BEACH, 1.5KM NORTH OF RED BLUFF",-43.8822,-176.5472,,Stranding,Unknown,Male,,1,1,1438
1/7/70,7,1970,East,Winter,Mainland,North,1,Hawkes Bay,"OPOUTAMA, MAHIA",-39.0611,177.8473,,Stranding,Unknown,Unknown,,,1,
20/7/77,7,1977,East,Winter,Mainland,North,1,Hawkes Bay,"AWATOTO BEACH,NAPIER,1/2 MILE FROM CITY BOUNDARY",-39.546,176.9213,Live Stranding,Stranding,Live,Male,,1,1,1467
7/7/18,7,2018,East,Winter,Mainland,South,1,Marlborough,Marfell's beach,-41.717054,174.188918,Beach cast,,,Male,,1,1,1613
10/7/87,7,1987,South,Winter,Mainland,South,1,Southland,550M SOUTH OF MAIN ENTRANCE TO ORETI BEACH FROM           INVERCARGIL,-46.4425,168.23,,Stranding,Decomposed,Unknown,,,1,
8/7/88,7,1988,South,Winter,Mainland,South,1,Southland,TE WAE WAE BAY,-46.2062,167.353,Live Stranding,Stranding,Freshly dead,Male,,1,1,1265
9/7/89,7,1989,South,Winter,Mainland,South,1,Southland,TE WAE WAE BAY,-46.1919,167.6048,,Stranding,Unknown,Unknown,,,1,1265
4/7/94,7,1994,West,Winter,Mainland,North,1,Taranaki,"WAITOTARA(WANGANUI),NZMS 260 R22 545488",-39.8539,174.6887,Beach cast,Death Report,Freshly dead,Female,1,,1,1230
22/7/99,7,1999,West,Winter,Mainland,North,1,Taranaki,NEAR MOUTH OF WAIWHAKAIHO RIVER,-39.0359,174.1081,Beach cast,Death Report,Decomposed,Unknown,,,1,
23/7/06,7,2006,West,Winter,Mainland,North,1,Waikato,"TRUE LEFT WAIKATO RIVER MOUTH, PORT WIAKATO.",-37.3686,174.7016,Live Stranding,Stranding,Live,Male,1,,1,720
26/7/38,7,1938,East,Winter,Mainland,North,1,Wellington,NEAR FLAT PT. MASTERTON,-41.2456,175.9643,,Death Report,Decomposed,Unknown,,,1,1676
8/7/83,7,1983,West,Winter,Mainland,North,1,Wellington,"OTAKI,WEST COAST BEACH, 1 MILE NORTH OF OTAKI",-40.7389,175.1139,Live Stranding,Stranding,Freshly dead,Female,1,,1,1600
23/7/95,7,1995,East,Winter,Mainland,North,1,Wellington,"NGAWI, CAPE PALLISER",-41.6064,175.2652,Live Stranding,Stranding,Live,Male,,1,1,1560
2/7/98,7,1998,West,Winter,Mainland,South,1,West Coast,"GILLESPIES BEACH BEHIND BATCHES, FRANZ JOSEF",-43.415,169.8196,Beach cast,Death Report,Decomposed,Unknown,,,1,
31/7/04,7,2004,West,Winter,Mainland,South,1,West Coast,"Kongahu Beach, Buller",-41.2913,172.0894,Beach cast,Death Report,Freshly dead,Unknown,,,1,500
8/8/04,8,2004,Island,Winter,Island,Chatham,1,Chatham Islands,1KM NORTH OF HAPUPU HR ON HANSEN BAY BEACH. KAINGAROA NEAREST SETTLEMENT,-43.7922,-176.3384,Beach cast,Death Report,Freshly dead,Male,,1,1,1609
11/8/00,8,2000,East,Winter,Mainland,North,1,Gisborne,NEAR TE ARAROA,-37.6592,178.5031,Accident/Collision,Death Report,Decomposed,Male,,1,1,1460
19/8/75,8,1975,East,Winter,Mainland,North,1,Hawkes Bay,"NAPIER BEACH, SOME 110M INSIDE THE CITY BOUNDARY",-39.4837,176.9214,Live Stranding,Stranding,Live,Female,1,,1,1066
5/8/91,8,1991,West,Winter,Mainland,North,1,Manawatu,WANGANUI,-39.9483,174.9814,Beach cast,Death Report,Decomposed,Unknown,,,1,1100
13/8/78,8,1978,East,Winter,Mainland,South,1,Marlborough,"1KM SOUTH OF URE RIVER, KAIKOURA COAST",-41.9101,174.1114,,Stranding,Unknown,Male,,1,1,1350
19/8/93,8,1993,Unknown,Winter,Mainland,North,1,Northland,BUTLERS CREEK (WAIKOROPUPUNOA STREAM),-34.567,172.7786,,,Decomposed,Male,,1,1,465
13/8/14,8,2014,West,Winter,Mainland,North,1,Northland,"90 Mile Beach, South Huketere",-34.8919,173.0801,Beach cast,Death Report,Decomposed,Male,,1,1,1470
18/8/84,8,1984,East,Winter,Mainland,South,1,Otago,TAIERI MOUTH,-46.032,170.2241,,Stranding,Freshly dead,Male,,1,1,1050
29/8/00,8,2000,East,Winter,Mainland,South,1,Otago,MOERAKI BEACH,-45.3502,170.8283,Beach cast,Death Report,Decomposed,Male,,1,1,1350
1/8/16,8,2016,Island,Winter,Island,Stewart,1,Southland,"Saddle point, Rakiura (Stewart Island)",-46.725,167.9765,Floating at sea,Death Report,Decomposed,Unknown,,,1,1500
6/8/93,8,1993,East,Winter,Mainland,North,1,Waikato,WHAREKAHO BEACH WHITIANGA,-36.7961,175.7242,Live Stranding,Stranding,Wounded/sick,Male,,1,1,526
10/8/83,8,1983,West,Winter,Mainland,North,1,Wellington,OTAKI,-40.7423,175.1118,,Stranding,Unknown,Female,1,,1,
11/8/91,8,1991,West,Winter,Mainland,South,1,West Coast,"RUATAPU BEACH,NZMS1 557 ROSS 437430 APPROX.",-42.8025,170.8829,,,Decomposed,Unknown,,,1,1200
6/9/44,9,1944,West,Spring,Mainland,North,1,Auckland,MURIWAI,-36.7344,174.3641,,Stranding,Unknown,Male,,1,1,1280
23/9/83,9,1983,West,Spring,Mainland,North,1,Auckland,"MURIWAI BEACH, KAIPARA",-36.7344,174.3641,,Stranding,Unknown,Female,1,,1,1130
15/9/87,9,1987,West,Spring,Mainland,North,1,Auckland,"BETHELLS BEACH, NORTH END BY RIVER",-36.8919,174.4436,,Stranding,Unknown,Unknown,,,1,
6/9/00,9,2000,West,Spring,Mainland,North,1,Auckland,"NORTH END OF PAPAKANUI SPIT, SOUTH KAIPARA HEAD",-36.4279,174.2057,Beach cast,Death Report,Decomposed,Female,1,,1,1070
20/9/04,9,2004,West,Spring,Mainland,North,1,Auckland,"MURIWAI BEACH, AUCKLAND WEST COAST, IN FRONT OF SURF CLUB",-36.828,174.4252,Beach cast,Death Report,Freshly dead,Female,1,,1,1190
15/9/11,9,2011,West,Spring,Mainland,North,1,Auckland,"5km North Wilson Rd, Rangatira Beach, at approx half tide level",-36.5629,174.2303,Beach cast,Death Report,Freshly dead,Male,,1,1,1540
2/9/08,9,2008,East,Spring,Mainland,North,1,Bay of Plenty,OHOPE,-37.9809,177.1179,Beach cast,Death Report,Decomposed,Male,,1,1,810
5/9/94,9,1994,East,Spring,Mainland,South,1,Canterbury,"OHAU POINT, 20KM NORTH OF KAIKOURA PENINSULA",-42.2482,173.8302,Accident/Collision,Accident,Freshly dead,Unknown,,,1,
30/9/94,9,1994,East,Spring,Mainland,South,1,Canterbury,"WAIMARI BEACH,3.2KMS NORTH OF WAMARI SURF CLUB ROOM",-43.457,172.7173,Beach cast,Death Report,Decomposed,Male,,1,1,1840
2/9/95,9,1995,East,Spring,Mainland,South,1,Canterbury,"SOUTH BAY KAIKOURA (TOWED THERE), IN FRONT OF CAVES",-42.4257,173.6872,Floating at sea,,Decomposed,Unknown,,,1,
13/9/99,9,1999,East,Spring,Mainland,South,1,Canterbury,MANGAMAUNU,-42.2986,173.7487,Floating at sea,Death Report,Freshly dead,Male,,1,1,1413
1/9/07,9,2007,Island,Spring,Island,Chatham,1,Chatham Islands,"MANGANUI BEACH, NORTHERN END, NTH CHATHAM IS",-43.7258,-176.633,Beach cast,Death Report,Decomposed,Male,,1,1,1490
14/9/15,9,2015,Island,Spring,Island,Chatham,1,Chatham Islands,"Long Beach, Chatham Islands",-43.8464,-176.5723,Beach cast,Death Report,Freshly dead,Unknown,,,1,
16/9/15,9,2015,East,Spring,Mainland,North,1,Gisborne,about 11km off Mahia peninsula,-39.0664,178.1966,Floating at sea,Death Report,Decomposed,Unknown,,,1,
27/9/75,9,1975,East,Spring,Mainland,North,1,Hawkes Bay,"MAHIA BEACH,OPOUTAMA",-39.084,177.872,,Stranding,Unknown,Female,1,,1,990
